"id","item_id","title","category","subcategory","price","city","url"
97,"","Филе на шкуре из Атлантической Семги","ryba","file-iz-ryby","8 900 Т","","/ryba/file-iz-ryby/file-na-shkure-iz-atlanticheskoy-semgi/"
98,"","Филе из Охлажденной Океанической Форели  1,5 - 2 кг","ryba","file-iz-ryby","14 500 Т","","/ryba/file-iz-ryby/file-iz-ohlazhdennoy-okeanicheskoy-foreli-1-5-2-kg/"
99,"","Слайсы из Малосольного Лосося","ryba","file-iz-ryby","15 990 Т","","/ryba/ryba-kopchenaya/slaysy-iz-malosolnogo-lososya/"
100,"","Стейк Подкова из Норв. лосося размороженный  вес 300 - 400 гр","ryba","file-iz-ryby","7 800 Т","","/ryba/file-iz-ryby/steyk-podkova-iz-norv-lososya-razmorozhenniy-ves-300-400-gr/"
101,"","Филе Трески заморозка","ryba","file-iz-ryby","4 500 Т","","/ryba/file-iz-ryby/file-treski-zamorozka/"
102,"","Тунец  Yellowfin филе уп. 350-550 гр.","ryba","file-iz-ryby","10 100 Т","","/ryba/zamorozhennaya-ryba/tunec-yellowfin-file-up-300-500-gr/"
103,"","Филе Лосося копченое цельное вакуум","ryba","file-iz-ryby","11 500 Т","","/ryba/ryba-kopchenaya/file-lososya-kopchenoe-celnoe-vakuum/"
104,"","Филе минтая замороженное, уп. 600 гр","ryba","file-iz-ryby","1 490 Т","","/ryba/file-iz-ryby/file-mintaya/"
105,"","Угорь Копченый Унаги, филе для суши","ryba","file-iz-ryby","10 000 Т","","/ryba/zamorozhennaya-ryba/ugor-kopcheniy-unagi-dlya-sushi/"
106,"","Стейк Бабочка из Атлантической семги вес 150 гр.","ryba","file-iz-ryby","8 900 Т","","/ryba/file-iz-ryby/steyk-babochka-iz-atlanticheskoy-semgi-ves-150-gr/"
107,"","Стейк Подкова из Форели","ryba","file-iz-ryby","7 490 Т","","/ryba/file-iz-ryby/steyk-podkova-iz-foreli/"
108,"","Гравлакс (Gravad Lax) из охлажденки, вес 800 - 1000 гр.","ryba","file-iz-ryby","16 500 Т","","/ryba/ryba-kopchenaya/gravlaks-gravad-lax-iz-ohlazhdenki-ves-800-1000-gr/"
109,"","Филе Тунца грейд А, без костей и шкуры","ryba","file-iz-ryby","15 500 Т","","/ryba/rifovaya-ryba/file-tunca-greyd-a-bez-kostey-i-shkury/"
110,"","Стейки из Осетра, уп. 800 грамм ","ryba","file-iz-ryby","9 800 Т","","/ryba/zamorozhennaya-ryba/steyki-iz-osetra/"
111,"","Филе Сельди малосольное KingFisher","ryba","file-iz-ryby","5 000 Т","","/ryba/file-iz-ryby/file-seldi-malosolnoe-kingfisher/"
112,"","Филе Окуня морского, 220 гр","ryba","file-iz-ryby","3 000 Т","","/ryba/file-iz-ryby/file-okunya-morskogo/"
113,"","Чилийский Сибас стейк-подкова","ryba","file-iz-ryby","30 000 Т","","/ryba/file-iz-ryby/chiliyskiy-sibas-steyk-podkova/"
114,"","Стейк-филе Swordfish (Рыба Меч)","ryba","file-iz-ryby","6 800 Т","","/ryba/file-iz-ryby/steyk-file-sword-fish-ryba-mech/"
115,"","Черная Треска стейк-подкова","ryba","file-iz-ryby","31 000 Т","","/ryba/file-iz-ryby/chernaya-treska-steyki-podkova/"
116,"","Стейк Акулы","ryba","file-iz-ryby","14 800 Т","","/ryba/file-iz-ryby/steyk-akuly/"
117,"","Лосось Малосольный филе на шкуре","ryba","ryba-kopchenaya","9 500 Т","","/ryba/ryba-kopchenaya/losos-malosolniy-file-na-shkure/"
118,"","Лосось копченый по Шотландски Филе","ryba","ryba-kopchenaya","10 800 Т","","/ryba/ryba-kopchenaya/losos-kopcheniy-po-shotlandski-file/"
119,"","Слайсы из Малосольного Лосося","ryba","ryba-kopchenaya","15 990 Т","","/ryba/ryba-kopchenaya/slaysy-iz-malosolnogo-lososya/"
120,"","Эсколар копченый филе на шкуре","ryba","ryba-kopchenaya","7 800 Т","","/ryba/ryba-kopchenaya/eskolar-kopcheniy-file-na-shkure/"
121,"","Слайсы Копченый Лосось (Семга)  Шотландского Копчения","ryba","ryba-kopchenaya","10 800 Т","","/ryba/ryba-kopchenaya/slaysy-iz-kopchenogo-lososya-shotlandskogo-kopcheniya/"
122,"","Тунец Копченый Куском (спинка)","ryba","ryba-kopchenaya","8 490 Т","","/ryba/ryba-kopchenaya/tunec-kopcheniy-kuskom/"
123,"","Форель Копченая из Охлажденки Филе","ryba","ryba-kopchenaya","10 800 Т","","/ryba/ryba-kopchenaya/forel-kopchenaya-iz-ohlazhdenki-file/"
124,"","Филе Лосося копченое цельное вакуум","ryba","ryba-kopchenaya","11 500 Т","","/ryba/ryba-kopchenaya/file-lososya-kopchenoe-celnoe-vakuum/"
125,"","Гравлакс (Gravad Lax) из охлажденки, вес 800 - 1000 гр.","ryba","ryba-kopchenaya","16 500 Т","","/ryba/ryba-kopchenaya/gravlaks-gravad-lax-iz-ohlazhdenki-ves-800-1000-gr/"
126,"","Слайсы из копченого Эсколара","ryba","ryba-kopchenaya","14 800 Т","","/ryba/ryba-kopchenaya/slaysy-iz-kopchenogo-eskolara/"
127,"","Филе Осетра Холодного копчения","ryba","ryba-kopchenaya","18 500 Т","","/ryba/ryba-kopchenaya/file-osetra-holodnogo-kopcheniya/"
128,"","Тунец Копченый нарезка Слайсами","ryba","ryba-kopchenaya","12 500 Т","","/ryba/ryba-kopchenaya/tunec-kopcheniy-narezka-slaysami/"
129,"","Филе Тунца грейд А, без костей и шкуры","ryba","rifovaya-ryba","15 500 Т","","/ryba/rifovaya-ryba/file-tunca-greyd-a-bez-kostey-i-shkury/"
130,"","Снеппер Красный (Red Snapper)","ryba","rifovaya-ryba","9 490 Т","","/ryba/rifovaya-ryba/snepper-krasniy-red-snapper/"
131,"","Барабулька Red Mullet (Султанка)","ryba","rifovaya-ryba","9 490 Т","","/ryba/rifovaya-ryba/barabulka-red-mullet-sultanka/"
132,"","Барамунди / Barramundi  вес 0,5 - 2 кг/шт","ryba","rifovaya-ryba","9 490 Т","","/ryba/rifovaya-ryba/baramundi-barramundi-ves-0-5-2-kg-sht/"
133,"","Группер Каменный /Spotted Grouper 0,5 - 2 кг/шт","ryba","rifovaya-ryba","9 490 Т","","/ryba/rifovaya-ryba/grupper-kamenniy-spotted-grouper-0-5-2-kg-sht/"
